"","Units","scenario","region","sector","subsector","PrimaryFuelCO2Coef.name","year","value","PrimaryFuelCO2Coef","fuel"
"138","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2025,0.0001097388,27.3,"coal"
"139","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2030,0.0003597779,27.3,"coal"
"140","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2035,0.00073492005,27.3,"coal"
"141","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2040,0.00097915864,27.3,"coal"
"142","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2045,0.00102916406,27.3,"coal"
"143","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2050,0.00103313648,27.3,"coal"
"144","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2055,0.00092430919,27.3,"coal"
"145","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2060,0.0007973236,27.3,"coal"
"146","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2065,0.0006324028,27.3,"coal"
"147","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2070,0.0005910592,27.3,"coal"
"148","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2075,0.0005437222,27.3,"coal"
"149","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2080,0.0004925851,27.3,"coal"
"150","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2085,0.0004425437,27.3,"coal"
"151","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2090,0.0003967811,27.3,"coal"
"152","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2095,0.00035763,27.3,"coal"
"153","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","coal","regional coal",2100,0.0003359052,27.3,"coal"
"154","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 central production","electricity","elect_td_ind",2020,4.01039e-07,0,"elect_td_ind"
