scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,comm others,CO2,MTCO2e,4.97872994,6.864328849,9.177187901,8.762627043,5.293830111,2.826499199,1.694729297,1.111753733,0.79179168,0.555824845,0.405284709,0.304696043,0.224368803,0.18857818,0.161391662,0.150521672,0.112899421,0.089086725,0.071745029,0.061308673,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,construction,CO2,MTCO2e,0.451764579,0.574295949,0.301792573,0.200946445,0.125980619,0.072548302,0.048344474,0.03106694,0.022077193,0.015361661,0.010584485,0.007380877,0.005042457,0.003976759,0.003161387,0.002732789,0.001892522,0.001378558,0.001024425,0.000797447,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,Freight Rail,CO2,MTCO2e,0.074509864,0.070248066,0.150808124,0.123068283,0.075995378,0.036763276,0.023786224,0.015632873,0.010739372,0.007235448,0.005251753,0.004092,0.003213387,0.00295653,0.002752107,0.002805981,0.002315548,0.002037523,0.001856686,0.001805124,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,industrial energy use,CO2,MTCO2e,7.169650754,7.264529094,9.199262696,7.890182173,5.178550593,2.973099982,2.149879661,1.641852325,1.233760844,0.883253803,0.653797851,0.499579248,0.372194625,0.317103896,0.269219226,0.247684609,0.182924763,0.143078037,0.115198289,0.098160029,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,iron and steel,CO2,MTCO2e,0.205120017,0.242973992,0.122032616,0.101575033,0.06634024,0.029337338,0.014553252,0.007837703,0.004611743,0.00269312,0.001676897,0.001108119,0.000733028,0.000567835,0.000444012,0.000379011,0.000260993,0.000190916,0.000144037,0.000115342,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,mining energy use,CO2,MTCO2e,0.349193414,0.327897687,0.487964985,0.379841258,0.214774266,0.101837551,0.057121477,0.03329699,0.021287936,0.013621916,0.009128495,0.006433337,0.004528046,0.003725394,0.003110901,0.002842245,0.002096283,0.001641661,0.001325892,0.001135295,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,Passenger Rail,CO2,MTCO2e,0.074511941,0.070249866,0.150810452,0.115370646,0.062950405,0.025076113,0.009740602,0.004465529,0.002338571,0.001272542,0.000795037,0.000533183,0.000361565,0.000290136,0.000236763,0.000212197,0.000154202,0.000119561,9.60E-05,8.23E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,resid cooling,CO2,MTCO2e,4.83540995,5.035725916,7.700006166,6.013479773,3.252280574,1.310799006,0.608306825,0.319482282,0.189669006,0.113106063,0.071663927,0.047782772,0.031714785,0.024349585,0.019196555,0.016578739,0.011571944,0.008514666,0.006391305,0.005156321,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,oil,electricity,resid others,CO2,MTCO2e,7.283258234,7.585008999,11.59801508,10.23968757,7.29953092,3.961044415,2.216243061,1.323883573,0.861329455,0.556703902,0.375063108,0.265553859,0.187209642,0.152681158,0.127928639,0.117490686,0.087098895,0.068081604,0.05440368,0.046179575,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Southern,coal,electricity,agricultural energy use,CO2,MTCO2e,0.379026666,0.152580004,0.323843591,0.41669828,0.254452232,0.070639269,0.031974558,0.029004854,0.024825278,0.015311621,0.009880429,0.006322449,0.004262067,0.003302382,0.002722234,0.002653378,0.002529659,0.002524586,0.002665645,0.001904266,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Southern,coal,electricity,aluminum,CO2,MTCO2e,1.891934839,0.991119492,1.546182167,1.737178509,0.747833704,0.133119956,0.043698639,0.03438428,0.026204551,0.015622356,0.010356226,0.006917157,0.00481982,0.003835631,0.003178504,0.003042484,0.002797854,0.002678805,0.002704646,0.001894926,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Southern,coal,electricity,cement,CO2,MTCO2e,0.133787782,0.10283742,0.139037058,0.145248408,0.055030926,0.011892681,0.004953912,0.004769286,0.004234848,0.00283904,0.002003878,0.00134582,0.000930069,0.000730674,0.00060029,0.000574388,0.000532097,0.000511645,0.000516168,0.000362164,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Southern,coal,electricity,comm cooling,CO2,MTCO2e,0.212778525,0.153241726,0.320239553,0.358538915,0.119810035,0.020835747,0.007741863,0.00705935,0.006538335,0.004975994,0.004220269,0.003611739,0.003200554,0.003104562,0.003064936,0.003421116,0.003578169,0.003769752,0.004085851,0.002978301,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Southern,coal,electricity,comm others,CO2,MTCO2e,1.212857742,0.873495346,1.825398778,2.444380264,0.964991714,0.201051499,0.083481019,0.081299165,0.078210552,0.06115337,0.05270357,0.045476361,0.04032285,0.038981088,0.038264706,0.042515347,0.044353875,0.046982171,0.051613323,0.038343957,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Southern,coal,electricity,construction,CO2,MTCO2e,0.002760685,0.003391223,0.004584946,0.004700633,0.002410756,0.000640078,0.000305904,0.000299231,0.000279157,0.000187722,0.000125893,8.09E-05,5.39E-05,4.06E-05,3.23E-05,3.03E-05,2.77E-05,2.64E-05,2.65E-05,1.75E-05,,
