"","scenario","region","direct","transformation","enduse","year","value","ghg","Units"
"102","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2085,-3.519276e-05,"CO2","MTCO2e"
"103","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2085,-9.275271e-06,"CO2","MTCO2e"
"104","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2085,-1.469711e-05,"CO2","MTCO2e"
"105","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2085,-0.01370094,"CO2","MTCO2e"
"106","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2085,-0.006933312,"CO2","MTCO2e"
"107","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2085,-0.0002109454,"CO2","MTCO2e"
"108","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2085,-4.753881e-07,"CO2","MTCO2e"
"109","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2085,-1.79875e-05,"CO2","MTCO2e"
"110","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2090,-8.47829e-06,"CO2","MTCO2e"
"111","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2090,-1.969105e-06,"CO2","MTCO2e"
"112","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2090,-3.014576e-06,"CO2","MTCO2e"
"113","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2090,-0.00302658,"CO2","MTCO2e"
"114","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2090,-0.001478799,"CO2","MTCO2e"
"115","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2090,-4.684402e-05,"CO2","MTCO2e"
